   448 | remove tlp                                                                                                                                                     | 2024-02-26 22:33 | Removed        |    4   
   447 | install tlp                                                                                                                                                    | 2024-02-26 22:30 | Install        |    4   
   446 | install tailscale                                                                                                                                              | 2024-02-26 14:21 | Install        |    1   
   445 | install powertop                                                                                                                                               | 2024-02-26 12:33 | Install        |    1   
   444 | remove gerbera                                                                                                                                                 | 2024-02-24 14:52 | Removed        |    4   
   443 | install gerbera                                                                                                                                                | 2024-02-24 14:43 | Install        |    4   
   442 | remove minidlna                                                                                                                                                | 2024-02-24 14:39 | Removed        |    2 EE
   441 | install docker-compose-plugin                                                                                                                                  | 2024-02-23 12:31 | Install        |    1  <
   440 | -y install --nogpgcheck --disablerepo=* /tmp/akmods.716s09Ha/results/kmod-wl-6.7.5-200.fc39.x86_64-6.30.223.271-49.fc39.x86_64.rpm                             | 2024-02-23 12:27 | Install        |    1 > 
   438 | install -y minidlna                                                                                                                                            | 2024-02-22 23:09 | Install        |    2   
   437 | remove minidlna                                                                                                                                                | 2024-02-22 23:09 | Removed        |    2 EE
   436 | install minidlna                                                                                                                                               | 2024-02-22 22:28 | Install        |    2   
   435 | install perl                                                                                                                                                   | 2024-02-19 19:00 | Install        |  110   
   433 | install java -y                                                                                                                                                | 2024-02-19 14:46 | Install        |    3   
   430 | -y install --nogpgcheck --disablerepo=* /tmp/akmods.XZ3tIdia/results/kmod-wl-6.7.4-200.fc39.x86_64-6.30.223.271-49.fc39.x86_64.rpm                             | 2024-02-12 08:48 | Install        |    1   
   428 | install mold                                                                                                                                                   | 2024-02-08 15:38 | Install        |    3   
   427 | remove protobuf-compiler                                                                                                                                       | 2024-02-08 12:14 | Removed        |    1   
   426 | install protobuf-compiler                                                                                                                                      | 2024-02-08 12:05 | Install        |    1   
   424 | -y install --nogpgcheck --disablerepo=* /tmp/akmods.LTR82fOM/results/kmod-wl-6.7.3-200.fc39.x86_64-6.30.223.271-49.fc39.x86_64.rpm                             | 2024-02-06 08:43 | Install        |    1   
   422 | install iperf3                                                                                                                                                 | 2024-02-05 11:00 | Install        |    1   
   419 | -y install --nogpgcheck --disablerepo=* /tmp/akmods.Q0N1lcBS/results/kmod-wl-6.6.13-200.fc39.x86_64-6.30.223.271-49.fc39.x86_64.rpm                            | 2024-01-25 09:09 | Install        |    1   
   415 | -y install --nogpgcheck --disablerepo=* /tmp/akmods.Tok5vZ16/results/kmod-wl-6.6.12-200.fc39.x86_64-6.30.223.271-49.fc39.x86_64.rpm                            | 2024-01-22 09:21 | Install        |    1   
   411 | -y install --nogpgcheck --disablerepo=* /tmp/akmods.9g0RcU6o/results/kmod-wl-6.6.11-200.fc39.x86_64-6.30.223.271-49.fc39.x86_64.rpm                            | 2024-01-18 09:04 | Install        |    1   
   408 | remove wine                                                                                                                                                    | 2024-01-12 12:24 | C, E           |  113   
   407 | install wine                                                                                                                                                   | 2024-01-12 12:19 | Install        |  288   
   402 | -y install --nogpgcheck --disablerepo=* /tmp/akmods.TZEM7qba/results/kmod-wl-6.6.9-200.fc39.x86_64-6.30.223.271-49.fc39.x86_64.rpm                             | 2024-01-06 09:44 | Install        |    1   
   398 | -y install --nogpgcheck --disablerepo=* /tmp/akmods.Uw9CSMCL/results/kmod-wl-6.6.8-200.fc39.x86_64-6.30.223.271-49.fc39.x86_64.rpm                             | 2023-12-29 01:06 | Install        |    1 ><
   397 | -y install --nogpgcheck --disablerepo=* /tmp/akmods.LtPxoxTN/results/kmod-wl-6.6.8-200.fc39.x86_64-6.30.223.271-49.fc39.x86_64.rpm                             | 2023-12-29 01:04 | Install        |    1 ><
   396 | -y install --nogpgcheck --disablerepo=* /tmp/akmods.tTFbEuRF/results/kmod-wl-6.6.8-200.fc39.x86_64-6.30.223.271-49.fc39.x86_64.rpm                             | 2023-12-29 01:04 | Install        |    1 >#
   393 | -y install --disablerepo=* /tmp/akmods.fg1tM2ah/results/kmod-wl-6.6.7-100.fc38.x86_64-6.30.223.271-49.fc38.x86_64.rpm                                          | 2023-12-22 08:45 | Install        |    1   
   387 | -y install --disablerepo=* /tmp/akmods.hO539YIE/results/kmod-wl-6.6.6-100.fc38.x86_64-6.30.223.271-49.fc38.x86_64.rpm                                          | 2023-12-14 09:22 | Install        |    1   
